PTTI Scenario 4d Trig											
Economic											
	Total_NHS_Costs	336765510.9679609									
	Total_Productivity_Loss	503905649677.79895									
Medical											
	Cases	5084149.287203012									
	Deaths	41517.50085313866									
	Hospital	54417.69579825422									
	ICU	9603.122787927214									
Testing											
	Laboratories	2	9	9	9	9					
	Max_Laboratories	9									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	7691301.424437519	133894200.39921698	213407471.89680907	136612805.7008975	216940990.0429343					
	Testing_Total_Costs	708546769.4642954									
Tracing											
	Max_Supervisors	1585									
	Max_Tracers	79224									
	Tracers	0	79224	38907	7490	1232	177	30	6	1	1
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	6512444272.0	347279121.0	102132270.0	53301096.0	45068931.0	43921890.0	43734618.0	43695603.0	41753576.2
	Tracing_Total_Costs	7286888627.2									
