PTTI Scenario Targeted PTTI Lockdown Triggers											
Economic											
	Total_NHS_Costs	1100983821.3492703									
	Total_Productivity_Loss	967093714285.6562									
Medical											
	Cases	13265288.601515995									
	Deaths	150115.7441566364									
	Hospital	196759.2637365319									
	ICU	34722.22301232915									
Testing											
	Laboratories	1	9	9	9	9					
	Max_Laboratories	9									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	4588466.419646265	132533108.38339633	213213903.8325542	136573188.52297145	216423579.6869077					
	Testing_Total_Costs	703332246.8454759									
Tracing											
	Max_Supervisors	4385									
	Max_Tracers	219205									
	Tracers	0	77587	219205	153971	23007	56332	58265	34147	57558	15191
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	6378243011.0	12256496815.0	1289223513.0	267311421.00000003	527346396.00000006	542429595.0	354236841.0	536912874.0	197153254.20000002
	Tracing_Total_Costs	22402910970.2									
