PTTI Scenario 2b											
Economic											
	Total_NHS_Costs	2269746404.3667808									
	Total_Productivity_Loss	453861485936.2517									
Medical											
	Cases	34266363.94779403									
	Deaths	279821.4045400613									
	Hospital	366766.682897536									
	ICU	64723.53227603576									
Testing											
	Laboratories	9	261	261	261	261					
	Max_Laboratories	261									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	42094271.217890084	4812037030.764639	7707865047.591296	7708121999.335662	7536830399.999996					
	Testing_Total_Costs	27806948748.909485									
Tracing											
	Max_Supervisors	167276									
	Max_Tracers	8363777									
	Tracers	0	205833	8363777	169025	2	1	1	1	1	1
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	16890061699.0	670363730181.0	3972223125.0	2653336656.0	2653328853.0	2653328853.0	2653328853.0	2653328853.0	2535403126.2
	Tracing_Total_Costs	707081627449.2									
