PTTI Scenario 4d Trig10											
Economic											
	Total_NHS_Costs	408259811.7624801									
	Total_Productivity_Loss	600581932434.3264									
Medical											
	Cases	6816619.120379625									
	Deaths	55664.964610348135									
	Hospital	72961.0176080122									
	ICU	12875.473695531564									
Testing											
	Laboratories	2	10	9	10	10					
	Max_Laboratories	10									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	7728603.451584101	136287220.24852863	213994865.87093854	138685732.1189605	218801838.92909205					
	Testing_Total_Costs	715498260.6191038									
Tracing											
	Max_Supervisors	1787									
	Max_Tracers	89303									
	Tracers	0	88492	48812	88548	31981	86956	33222	89303	27398	62609
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	7272073426.0	427481586.00000006	741684144.0	296165043.0	725134968.0	305848566.0	799521009.0	260655894.0	511611445.8
	Tracing_Total_Costs	11393733331.8									
