PTTI Scenario 3b Trig											
Economic											
	Total_NHS_Costs	397286276.28406096									
	Total_Productivity_Loss	522792857142.81445									
Medical											
	Cases	5279177.627451685									
	Deaths	54168.75693460468									
	Hospital	70999.91271305163									
	ICU	12529.396361126757									
Testing											
	Laboratories	9	261	261	261	261					
	Max_Laboratories	261									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	42191163.52770989	5264521991.644142	7707913093.525181	7708119912.079773	7536830379.101321					
	Testing_Total_Costs	28259576539.878128									
Tracing											
	Max_Supervisors	679									
	Max_Tracers	33908									
	Tracers	0	30218	33908	21711	2155	214	22	3	1	1
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	2495629054.0	566516024.0	198829233.00000003	46233765.0	31088142.0	29589966.000000004	29441708.999999996	29426103.0	28118276.2
	Tracing_Total_Costs	3508429522.2									
