PTTI 3 Universal PTTI Face Coverings											
Economic											
	Total_NHS_Costs	1490900399.7831469									
	Total_Productivity_Loss	594823571428.5195									
Medical											
	Cases	17963228.610391177									
	Deaths	203279.66554730534									
	Hospital	266442.121380431									
	ICU	47019.19789066429									
Testing											
	Laboratories	1	82	290	290	290					
	Max_Laboratories	290									
	Testing_Block_Lengths	180	180	180	180	167					
	Testing_Costs	3913610.7772580544	663588977.812458	8154264800.004852	8564578576.712915	7946026999.996368					
	Testing_Total_Costs	25332372965.303852									
Tracing											
	Max_Supervisors	16049									
	Max_Tracers	802438									
	Tracers	0	1190	18816	802438	640348	119	1	1	1	1
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	77
	Tracing_Costs	53557250.0	116281220.0	1473162648.0	64401805114.0	5268131244.0	272424357.0	271503603.0	271503603.0	271503603.0	232286415.9
	Tracing_Total_Costs	72632159057.9									
